__label__noRel	Additional studies should be done in this area to determine the optimum training program.	No changes were found in arm circumference or arm volume as a result of the exercise program.
__label__Attack	However, patient self-assessments suggested a possible advantage to AM that is being explored with modified dosing route strategies.	AM did not significantly reduce esophagitis >/= grade 3 in patients receiving hyperfractionated radiation and chemotherapy.
__label__Attack	There was a high rate of grade 3/4 neutropenia (97%) but not neutropenic fever (12%) during neoadjuvant chemotherapy.	Neoadjuvant docetaxel-cisplatin followed by CRT was well tolerated with a manageable toxicity profile that allowed subsequent delivery of full-dose CRT.
__label__Attack	Self-reported severity of facial hair in the intervention group (n = 51) fell from 7.3 to 3.6 over the 6-month study period; for the control group (n = 37) the corresponding scores were 7.1 and 6.1.	Laser treatment appeared to reduce the severity of facial hair and time spent on hair removal as well as alleviating depression and anxiety in women with PCOS.
__label__Attack	but were not statistically significant after adjustment for multiple testing.	Other analyzed QOL parameters favored the group receiving placebo
__label__Attack	The improvement in pain-related impairment was not sustained at 6 and 12 weeks.	At 2 weeks, assignment to TEC was associated with improvement in pain-related impairment (-0.25 points on a 5-point scale, 95% confidence interval -0.43 to -0.06, P=.01)
__label__Attack	These differences were not significant.	The corresponding mean amounts of residual contrast-enhancing tumor tissue were 29.2 and 24.4%, respectively.
__label__Attack	Further research on dose and mode of treatment is mandatory.	Pamidronate treatment of breast cancer patients efficaciously reduced skeletal morbidity.
__label__Attack	with the exception of poorer sexual function reported by those treated with cryoablation.	In this randomized trial, no long-term QOL advantage for either treatment was apparent
__label__Attack	except for tumor hemorrhage-type events with gefitinib (8.9%, gefitinib 250 mg/day; 11.4%, gefitinib 500 mg/day; 1.9%, methotrexate).	No unexpected adverse events were observed,
__label__Attack	Grade 4 neutropenia (27% v 19%) and infusion site pain (10% v 0.5%) were reported more frequently in the ASA404 arm.	The addition of ASA404 to carboplatin and paclitaxel, although generally well tolerated, failed to improve frontline efficacy in advanced NSCLC.
